Sample in Buffer,Sample in Window,TRIGGER,m_axi_awvalid_0,m_axi_awready[0:0],m_axi_awaddr_o[0][31:0],m_axi_awprot_o[0][2:0],m_axi_wvalid_0,m_axi_wready_1[0:0],m_axi_wdata_o[0][31:0],m_axi_wstrb_o[0][3:0],m_axi_bvalid_1[0:0],m_axi_bready_0,m_axi_arvalid_0,m_axi_arready_1[0:0],m_axi_araddr_o[0][31:0],m_axi_arprot_o[0][2:0],m_axi_rvalid_1[0:0],m_axi_rready_0,m_axi_rdata_o[0][31:0],m_axi_awvalid_1,m_axi_awready_1[1:1],m_axi_awaddr_o[1][31:0],m_axi_awprot_o[1][2:0],m_axi_wvalid_1,m_axi_wready[1:1],m_axi_wdata_o[1][31:0],m_axi_wstrb_o[1][3:0],m_axi_bvalid[1:1],m_axi_bready_1,m_axi_arvalid_1,m_axi_arready[1:1],m_axi_araddr_o[1][31:0],m_axi_arprot_o[1][2:0],m_axi_rvalid[1:1],m_axi_rready_1,m_axi_rdata_o[1][31:0],RST_IBUF,GPIO_PinIn[31:0],GPIO_PinOut[31:0],GPIO_Rx[31:0],GPIO_Tx[31:0],GPIO_Strength[31:0],GPIO_Pulldown[31:0],GPIO_Pullup[31:0],PROGADDR_IRQ[31:0]
0,0,1,0,0,00000584,0,0,0,0000004f,f,0,0,1,0,00000584,4,0,1,00000000,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
1,1,0,0,0,00000584,0,0,0,00000000,0,0,0,1,0,00000584,4,0,1,00000000,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
2,2,0,0,0,00000584,0,0,0,00000000,0,0,0,1,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
3,3,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
4,4,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
5,5,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
6,6,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
7,7,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
8,8,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
9,9,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
10,10,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
11,11,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
12,12,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
13,13,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
14,14,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
15,15,0,0,0,00000584,0,0,0,00000000,0,0,0,0,1,00000584,4,0,1,00b52023,0,0,00000000,0,0,0,00000000,f,0,0,0,0,00000000,0,0,0,00000000,1,00000002,00000000,00000002,00000001,00000000,00000000,00000000,0000059b
